PacketType,PayloadLen,DeviceID,Timestamp,PacketID,accel,Flags,Battery,CRC,time
2,24,1,7130,1,"[0.0, 0.0, 0.0]",3,0,158,0.0
2,24,2,7131,1,"[0.0, 0.0, 0.0]",3,0,85,0.001
2,24,3,7132,1,"[0.0, 0.0, 0.0]",3,0,85,0.002
2,24,2,7135,2,"[0.0, 0.0, 0.0]",3,0,217,0.005
2,24,1,7136,2,"[0.0, 0.0, 0.0]",3,0,248,0.006
2,24,3,7139,2,"[0.0, 0.0, 0.0]",3,0,111,0.009
2,24,1,7143,3,"[0.0, 0.0, 0.0]",3,0,241,0.013
2,24,3,7144,3,"[0.0, 0.0, 0.0]",3,0,75,0.014
2,24,2,7145,3,"[0.0, 0.0, 0.0]",3,0,222,0.015
2,24,1,7151,4,"[0.0, 0.0, 0.0]",3,0,200,0.021
2,24,2,7152,4,"[0.0, 0.0, 0.0]",3,0,204,0.022
2,24,3,7153,4,"[0.0, 0.0, 0.0]",3,0,89,0.023
2,24,1,7157,5,"[0.0, 0.0, 0.0]",3,0,199,0.027
2,24,3,7158,5,"[0.0, 0.0, 0.0]",3,0,80,0.028
2,24,2,7159,5,"[0.0, 0.0, 0.0]",3,0,197,0.029
2,24,2,7164,6,"[0.0, 0.0, 0.0]",3,0,173,0.034
2,24,1,7165,6,"[0.0, 0.0, 0.0]",3,0,102,0.035
2,24,3,7167,6,"[0.0, 0.0, 0.0]",3,0,75,0.037
2,24,2,7170,7,"[0.0, 0.0, 0.0]",3,0,5,0.04
2,24,1,7171,7,"[0.0, 0.0, 0.0]",3,0,206,0.041
2,24,3,7172,7,"[0.0, 0.0, 0.0]",3,0,191,0.042
2,24,2,7176,8,"[0.0, 0.0, 0.0]",3,0,120,0.046
2,24,1,7177,8,"[0.0, 0.0, 0.0]",3,0,179,0.047
2,24,3,7178,8,"[0.0, 0.0, 0.0]",3,0,36,0.048
2,24,3,7182,9,"[0.0, 0.0, 0.0]",3,0,228,0.052
2,24,2,7183,9,"[0.0, 0.0, 0.0]",3,0,113,0.053
2,24,1,7184,9,"[0.0, 0.0, 0.0]",3,0,117,0.054
2,24,3,7188,10,"[0.0, 0.0, 0.0]",3,0,167,0.058
2,24,1,7189,10,"[0.0, 0.0, 0.0]",3,0,67,0.059
2,24,2,7190,10,"[0.0, 0.0, 0.0]",3,0,251,0.06
2,24,2,7194,11,"[0.0, 0.0, 0.0]",3,0,240,0.064
