PacketType,PayloadLen,DeviceID,Timestamp,PacketID,accel,Flags,Battery,CRC,time
2,24,3,4037,2,"[-0.34759521484375, 0.90924072265625, -0.08123779296875]",11,0,66,0.0
2,24,2,4038,2,"[0.0, 0.0, 0.0]",3,0,40,0.001
2,24,3,4089,3,"[-0.35638427734375, 0.92401123046875, -0.03070068359375]",11,0,123,0.052
2,24,2,4091,3,"[0.0, 0.0, 0.0]",3,0,45,0.054
2,24,3,4140,4,"[-0.35638427734375, 0.92401123046875, -0.03070068359375]",11,0,63,0.103
2,24,2,4141,4,"[0.0, 0.0, 0.0]",3,0,161,0.104
2,24,3,4197,5,"[-0.3319091796875, 0.9229736328125, -0.0130615234375]",11,0,12,0.16
2,24,2,4200,5,"[0.0, 0.0, 0.0]",3,0,145,0.163
2,24,3,4246,6,"[-0.33367919921875, 0.9295654296875, 0.0059814453125]",11,0,103,0.209
2,24,2,4249,6,"[0.0, 0.0, 0.0]",3,0,43,0.212
2,24,3,4299,7,"[-0.3258056640625, 0.93145751953125, 0.01654052734375]",11,0,81,0.262
2,24,2,4301,7,"[0.0, 0.0, 0.0]",3,0,48,0.264
2,24,2,4361,8,"[0.0, 0.0, 0.0]",3,0,243,0.324
2,24,3,4367,8,"[-0.3258056640625, 0.93145751953125, 0.01654052734375]",11,0,17,0.33
2,24,3,4407,9,"[-0.32025146484375, 0.93218994140625, 0.02081298828125]",11,0,77,0.37
2,24,2,4408,9,"[0.0, 0.0, 0.0]",3,0,219,0.371
2,24,2,4453,10,"[0.0, 0.0, 0.0]",3,0,253,0.416
2,24,3,4454,10,"[-0.32025146484375, 0.93218994140625, 0.02081298828125]",11,0,119,0.417
2,24,3,4505,11,"[-0.320556640625, 0.9326171875, 0.0181884765625]",11,0,61,0.468
2,24,2,4507,11,"[0.0, 0.0, 0.0]",3,0,239,0.47
2,24,2,4558,12,"[0.0, 0.0, 0.0]",3,0,154,0.521
2,24,3,4559,12,"[-0.32904052734375, 0.9344482421875, 0.00494384765625]",11,0,158,0.522
2,24,3,4611,13,"[-0.32904052734375, 0.9344482421875, 0.00494384765625]",11,0,0,0.574
2,24,2,4612,13,"[0.0, 0.0, 0.0]",3,0,152,0.575
2,24,3,4667,14,"[-0.32672119140625, 0.9332275390625, -0.007080078125]",11,0,232,0.63
2,24,2,4668,14,"[0.0, 0.0, 0.0]",3,0,141,0.631
2,24,2,4718,15,"[0.0, 0.0, 0.0]",3,0,3,0.681
2,24,3,4719,15,"[-0.335205078125, 0.930908203125, -0.0162353515625]",11,0,66,0.682
2,24,2,4776,16,"[0.0, 0.0, 0.0]",3,0,227,0.739
2,24,3,4777,16,"[-0.34912109375, 0.92230224609375, -0.05535888671875]",11,0,110,0.74
2,24,3,4819,17,"[-0.34912109375, 0.92230224609375, -0.05535888671875]",11,0,225,0.782
2,24,2,4820,17,"[0.0, 0.0, 0.0]",3,0,22,0.783
2,24,3,4878,18,"[-0.40460205078125, 0.9581298828125, -0.0023193359375]",11,0,25,0.841
2,24,2,4879,18,"[0.0, 0.0, 0.0]",3,0,15,0.842
2,24,2,4926,19,"[0.0, 0.0, 0.0]",3,0,39,0.889
2,24,3,4927,19,"[-0.40460205078125, 0.9581298828125, -0.0023193359375]",11,0,149,0.89
2,24,2,4977,20,"[0.0, 0.0, 0.0]",3,0,123,0.94
2,24,3,4978,20,"[-0.28436279296875, 0.89849853515625, 0.02215576171875]",11,0,219,0.941
2,24,3,5028,21,"[-0.34033203125, 0.91558837890625, -0.07818603515625]",11,0,197,0.991
2,24,2,5031,21,"[0.0, 0.0, 0.0]",3,0,135,0.994
2,24,2,5081,22,"[0.0, 0.0, 0.0]",3,0,77,1.044
2,24,3,5082,22,"[-0.43511962890625, 0.90545654296875, -0.24322509765625]",11,0,12,1.045
2,24,3,5135,23,"[-0.43511962890625, 0.90545654296875, -0.24322509765625]",11,0,243,1.098
2,24,2,5136,23,"[0.0, 0.0, 0.0]",3,0,126,1.099
2,24,3,5187,24,"[-0.10491943359375, 0.97039794921875, -0.34674072265625]",11,0,73,1.15
2,24,2,5190,24,"[0.0, 0.0, 0.0]",3,0,245,1.153
2,24,3,5250,25,"[-0.3013916015625, 1.0657958984375, -0.53961181640625]",11,0,154,1.213
2,24,2,5252,25,"[0.0, 0.0, 0.0]",3,0,126,1.215
2,24,2,5291,26,"[0.0, 0.0, 0.0]",3,0,213,1.254
2,24,3,5296,26,"[-0.3013916015625, 1.0657958984375, -0.53961181640625]",11,0,56,1.259
2,24,2,5342,27,"[0.0, 0.0, 0.0]",3,0,81,1.305
2,24,3,5343,27,"[-0.2769775390625, 0.95208740234375, -0.46484375]",11,0,55,1.306
2,24,2,5397,28,"[0.0, 0.0, 0.0]",3,0,65,1.36
2,24,3,5398,28,"[-0.2769775390625, 0.95208740234375, -0.46484375]",11,0,203,1.361
2,24,3,5449,29,"[-0.11566162109375, 0.83251953125, -0.30731201171875]",11,0,59,1.412
2,24,2,5453,29,"[0.0, 0.0, 0.0]",3,0,119,1.416
2,24,3,5501,30,"[-0.08795166015625, 0.79693603515625, -0.3809814453125]",11,0,57,1.464
2,24,2,5502,30,"[0.0, 0.0, 0.0]",3,0,96,1.465
2,24,2,5551,31,"[0.0, 0.0, 0.0]",3,0,179,1.514
2,24,3,5555,31,"[-0.08795166015625, 0.79693603515625, -0.3809814453125]",11,0,208,1.518
2,24,3,5603,32,"[-0.699462890625, 0.46197509765625, -0.44256591796875]",11,0,116,1.566
2,24,2,5604,32,"[0.0, 0.0, 0.0]",3,0,140,1.567
2,24,2,5656,33,"[0.0, 0.0, 0.0]",3,0,175,1.619
2,24,3,5657,33,"[0.0174560546875, 0.96197509765625, -0.3746337890625]",11,0,122,1.62
2,24,3,5708,34,"[0.0174560546875, 0.96197509765625, -0.3746337890625]",11,0,39,1.671
2,24,2,5709,34,"[0.0, 0.0, 0.0]",3,0,66,1.672
2,24,2,5760,35,"[0.0, 0.0, 0.0]",3,0,45,1.723
2,24,3,5762,35,"[0.21612548828125, 0.814453125, -0.35650634765625]",11,0,157,1.725
2,24,3,5814,36,"[0.07171630859375, 0.73504638671875, -0.61517333984375]",11,0,43,1.777
2,24,2,5815,36,"[0.0, 0.0, 0.0]",3,0,68,1.778
2,24,2,5865,37,"[0.0, 0.0, 0.0]",3,0,231,1.828
2,24,3,5866,37,"[0.07171630859375, 0.73504638671875, -0.61517333984375]",11,0,125,1.829
2,24,2,5918,38,"[0.0, 0.0, 0.0]",3,0,246,1.881
2,24,3,5924,38,"[0.031494140625, 0.8330078125, -0.54888916015625]",11,0,71,1.887
2,24,3,5978,39,"[0.0570068359375, 0.806884765625, -0.54974365234375]",11,0,207,1.941
2,24,2,5979,39,"[0.0, 0.0, 0.0]",3,0,198,1.942
2,24,2,6026,40,"[0.0, 0.0, 0.0]",3,0,246,1.989
2,24,3,6030,40,"[0.0570068359375, 0.806884765625, -0.54974365234375]",11,0,238,1.993
2,24,2,6073,41,"[0.0, 0.0, 0.0]",3,0,173,2.036
2,24,3,6074,41,"[0.0216064453125, 0.7694091796875, -0.61639404296875]",11,0,233,2.037
2,24,3,6127,42,"[0.04998779296875, 0.81683349609375, -0.55322265625]",11,0,157,2.09
2,24,2,6130,42,"[0.0, 0.0, 0.0]",3,0,143,2.093
2,24,3,6179,43,"[0.04998779296875, 0.81683349609375, -0.55322265625]",11,0,13,2.142
2,24,2,6180,43,"[0.0, 0.0, 0.0]",3,0,62,2.143
2,24,3,6236,44,"[0.03045654296875, 0.8272705078125, -0.57452392578125]",11,0,7,2.199
2,24,2,6248,44,"[0.0, 0.0, 0.0]",3,0,171,2.211
2,24,3,6285,45,"[0.0391845703125, 0.80474853515625, -0.58001708984375]",11,0,120,2.248
2,24,2,6286,45,"[0.0, 0.0, 0.0]",3,0,227,2.249
2,24,3,6338,46,"[0.0391845703125, 0.80474853515625, -0.58001708984375]",11,0,215,2.301
2,24,2,6339,46,"[0.0, 0.0, 0.0]",3,0,84,2.302
2,24,2,6388,47,"[0.0, 0.0, 0.0]",3,0,233,2.351
2,24,3,6389,47,"[0.03497314453125, 0.777587890625, -0.59039306640625]",11,0,103,2.352
2,24,2,6440,48,"[0.0, 0.0, 0.0]",3,0,30,2.403
2,24,3,6443,48,"[0.02447509765625, 0.767333984375, -0.59808349609375]",11,0,104,2.406
2,24,2,6503,49,"[0.0, 0.0, 0.0]",3,0,150,2.466
2,24,3,6504,49,"[0.02447509765625, 0.767333984375, -0.59808349609375]",11,0,179,2.467
2,24,3,6545,50,"[0.0390625, 0.7879638671875, -0.5701904296875]",11,0,41,2.508
2,24,2,6546,50,"[0.0, 0.0, 0.0]",3,0,202,2.509
2,24,3,6597,51,"[0.029052734375, 0.81072998046875, -0.56597900390625]",11,0,159,2.56
2,24,2,6607,51,"[0.0, 0.0, 0.0]",3,0,160,2.57
